,x,y
447,1422.9999999999984,110
448,1443.3571428571413,150
449,1444.4285714285697,150
450,1445.4999999999984,150
451,1446.571428571427,149
452,1447.6428571428555,149
453,1448.7142857142842,148
454,1449.7857142857126,148
455,1450.8571428571413,148
456,1451.92857142857,149
457,1452.9999999999984,148
458,1454.0714285714268,148
459,1455.1428571428555,149
460,1456.2142857142842,150
461,1457.2857142857129,150
462,1458.3571428571413,148
463,1459.4285714285697,147
464,1460.4999999999984,147
465,1461.571428571427,146
466,1462.6428571428557,145
467,1463.7142857142842,145
468,1464.7857142857126,144
469,1465.8571428571413,143
470,1466.92857142857,142
471,1467.9999999999984,140
472,1469.071428571427,139
473,1470.1428571428555,137
474,1471.2142857142842,126
475,1472.2857142857126,126
476,1481.9285714285697,115
477,1482.9999999999984,118
478,1484.071428571427,117
479,1485.1428571428555,117
480,1486.2142857142842,116
481,1487.2857142857126,117
482,1488.3571428571413,118
483,1489.42857142857,114
484,1490.4999999999984,113
485,1491.5714285714268,113
486,1492.6428571428555,112
487,1493.7142857142842,111
488,1494.7857142857129,111
489,1495.8571428571413,111
490,1496.9285714285697,111
491,1497.9999999999984,111
492,1499.071428571427,111
493,1500.1428571428557,111
494,1501.2142857142842,112
495,1502.2857142857126,113
496,1503.3571428571413,113
497,1504.42857142857,113
498,1505.4999999999984,113
499,1506.571428571427,113
500,1507.6428571428555,112
501,1508.7142857142842,112
502,1509.7857142857126,111
503,1510.8571428571413,113
504,1511.92857142857,113
505,1512.9999999999984,113
506,1514.071428571427,112
507,1515.1428571428555,114
508,1516.2142857142842,114
509,1530.1428571428555,122
510,1531.2142857142842,121
511,1532.2857142857129,118
512,1533.3571428571413,117
513,1534.4285714285697,116
514,1535.4999999999984,116
515,1536.571428571427,117
516,1537.6428571428557,117
517,1538.7142857142842,124
518,1539.7857142857126,118
519,1540.8571428571413,120
520,1551.571428571427,146
521,1552.6428571428555,144
522,1553.7142857142842,140
523,1554.7857142857129,136
524,1555.8571428571413,135
525,1556.9285714285697,134
526,1557.9999999999984,133
527,1559.071428571427,132
528,1560.1428571428555,132
529,1561.2142857142842,130
530,1562.2857142857126,133
531,1563.3571428571413,133
532,1564.42857142857,133
533,1565.4999999999984,134
534,1566.5714285714268,135
535,1567.6428571428555,135
536,1568.7142857142842,135
537,1569.7857142857129,136
538,1570.8571428571413,134
539,1571.9285714285697,132
540,1572.9999999999984,131
541,1574.071428571427,129
542,1575.1428571428557,127
543,1576.2142857142842,124
544,1580.4999999999984,117
545,1581.571428571427,117
546,1582.6428571428555,115
547,1583.7142857142842,113
548,1584.7857142857126,111
549,1585.8571428571413,110
550,1586.92857142857,109
551,1587.9999999999984,108
552,1589.071428571427,107
553,1590.1428571428555,107
554,1591.2142857142842,106
555,1592.2857142857129,106
556,1593.3571428571413,106
557,1594.4285714285697,105
558,1595.4999999999984,105
559,1596.571428571427,105
560,1597.6428571428555,106
561,1598.7142857142842,106
562,1599.7857142857126,106
563,1600.857142857141,106
564,1601.9285714285697,105
565,1602.9999999999984,106
566,1604.0714285714268,106
567,1605.1428571428555,106
568,1606.2142857142842,106
569,1607.2857142857129,106
570,1608.3571428571413,106
571,1609.42857142857,107
572,1610.4999999999982,108
573,1611.5714285714268,108
574,1612.6428571428555,108
575,1613.7142857142842,109
576,1614.7857142857126,110
