"start","end","prob","logit","action","start","end"
9529,9656,0.20409639,6.843541,"playing recorder",9529,9656
9566,9707,0.18787742,6.457441,"playing recorder",9566,9707
9596,9750,0.13693751,5.7905145,"playing recorder",9596,9750
9626,9793,0.14118353,5.9109015,"assembling computer",9626,9793
9656,9823,0.13688233,5.849822,"playing recorder",9656,9823
9707,9853,0.14703317,5.952851,"assembling computer",9707,9853
9750,9890,0.19183029,6.5341725,"playing recorder",9750,9890
9793,9937,0.17695904,6.0807643,"playing recorder",9793,9937
9823,9969,0.22026242,6.441603,"playing recorder",9823,9969
9853,10002,0.22684367,6.8115497,"playing recorder",9853,10002
9890,10032,0.17612936,6.5682483,"playing recorder",9890,10032
9937,10069,0.127491,6.216197,"playing recorder",9937,10069
9969,10101,0.13990153,6.411848,"playing recorder",9969,10101
10002,10134,0.19248171,6.62484,"playing recorder",10002,10134
10032,10193,0.15353905,5.812539,"playing recorder",10032,10193
10069,10223,0.15617059,5.8655205,"playing recorder",10069,10223
10101,10279,0.15911679,5.815557,"playing recorder",10101,10279
10134,10329,0.16031466,5.8667407,"playing recorder",10134,10329
10193,10360,0.18348062,6.2580385,"playing recorder",10193,10360
10223,10390,0.20295537,6.5502906,"playing recorder",10223,10390
10279,10430,0.19233187,6.648772,"playing recorder",10279,10430
10329,10460,0.22366501,6.643103,"assembling computer",10329,10460
